code,number,team,name,category,source_url
"BEL 3","3","Belgium","Arthur Theate","Jugador","https://scanini.app/es/teams/belgium"
"BEL 4","4","Belgium","Timothy Castagne","Jugador","https://scanini.app/es/teams/belgium"
"BEL 5","5","Belgium","Zeno Debast","Jugador","https://scanini.app/es/teams/belgium"
"BEL 6","6","Belgium","Brandon Mechele","Jugador","https://scanini.app/es/teams/belgium"
"BEL 7","7","Belgium","Maxim De Cuyper","Jugador","https://scanini.app/es/teams/belgium"
"BEL 8","8","Belgium","Thomas Meunier","Jugador","https://scanini.app/es/teams/belgium"
"BEL 9","9","Belgium","Youri Tielemans","Jugador","https://scanini.app/es/teams/belgium"
"BEL 10","10","Belgium","Amadou Onana","Jugador","https://scanini.app/es/teams/belgium"
"BEL 11","11","Belgium","Nicolas Raskin","Jugador","https://scanini.app/es/teams/belgium"
"BEL 12","12","Belgium","Alexis Saelemaekers","Jugador","https://scanini.app/es/teams/belgium"
"BEL 13","13","Belgium","Foto del equipo de Belgium","Equipo","https://scanini.app/es/teams/belgium"
"BEL 14","14","Belgium","Hans Vanaken","Jugador","https://scanini.app/es/teams/belgium"
"BEL 15","15","Belgium","Kevin De Bruyne","Jugador","https://scanini.app/es/teams/belgium"
"BEL 16","16","Belgium","Jérémy Doku","Jugador","https://scanini.app/es/teams/belgium"
"BEL 17","17","Belgium","Charles De Ketelaere","Jugador","https://scanini.app/es/teams/belgium"
"BEL 18","18","Belgium","Leandro Trossard","Jugador","https://scanini.app/es/teams/belgium"
"BEL 19","19","Belgium","Loïs Openda","Jugador","https://scanini.app/es/teams/belgium"
"BEL 20","20","Belgium","Romelu Lukaku","Jugador","https://scanini.app/es/teams/belgium"
"BIH 1","1","Bosnia and Herzegovina","Escudo de Bosnia and Herzegovina","Escudo","https://scanini.app/es/teams/bosnia-and-herzegovina"
"BIH 2","2","Bosnia and Herzegovina","Nikola Vasilj","Jugador","https://scanini.app/es/teams/bosnia-and-herzegovina"
"BIH 3","3","Bosnia and Herzegovina","Amer Dedic","Jugador","https://scanini.app/es/teams/bosnia-and-herzegovina"
"BIH 4","4","Bosnia and Herzegovina","Sead Kolasinac","Jugador","https://scanini.app/es/teams/bosnia-and-herzegovina"
"BIH 5","5","Bosnia and Herzegovina","Tarik Muharemovic","Jugador","https://scanini.app/es/teams/bosnia-and-herzegovina"
"BIH 6","6","Bosnia and Herzegovina","Nihad Mujakic","Jugador","https://scanini.app/es/teams/bosnia-and-herzegovina"
"BIH 7","7","Bosnia and Herzegovina","Nikola Katic","Jugador","https://scanini.app/es/teams/bosnia-and-herzegovina"
"BIH 8","8","Bosnia and Herzegovina","Amir Hadziahmetovic","Jugador","https://scanini.app/es/teams/bosnia-and-herzegovina"
"BIH 9","9","Bosnia and Herzegovina","Benjamin Tahirovic","Jugador","https://scanini.app/es/teams/bosnia-and-herzegovina"
"BIH 10","10","Bosnia and Herzegovina","Armin Gigovic","Jugador","https://scanini.app/es/teams/bosnia-and-herzegovina"
"BIH 11","11","Bosnia and Herzegovina","Ivan Sunjic","Jugador","https://scanini.app/es/teams/bosnia-and-herzegovina"
"BIH 12","12","Bosnia and Herzegovina","Ivan Basic","Jugador","https://scanini.app/es/teams/bosnia-and-herzegovina"
"BIH 13","13","Bosnia and Herzegovina","Foto del equipo de Bosnia and Herzegovina","Equipo","https://scanini.app/es/teams/bosnia-and-herzegovina"
"BIH 14","14","Bosnia and Herzegovina","Dzenis Burnic","Jugador","https://scanini.app/es/teams/bosnia-and-herzegovina"
"BIH 15","15","Bosnia and Herzegovina","Esmir Bajraktarevic","Jugador","https://scanini.app/es/teams/bosnia-and-herzegovina"
"BIH 16","16","Bosnia and Herzegovina","Amar Memic","Jugador","https://scanini.app/es/teams/bosnia-and-herzegovina"
"BIH 17","17","Bosnia and Herzegovina","Ermedin Demirovic","Jugador","https://scanini.app/es/teams/bosnia-and-herzegovina"
"BIH 18","18","Bosnia and Herzegovina","Edin Dzeko","Jugador","https://scanini.app/es/teams/bosnia-and-herzegovina"
"BIH 19","19","Bosnia and Herzegovina","Samed Bazdar","Jugador","https://scanini.app/es/teams/bosnia-and-herzegovina"
"BIH 20","20","Bosnia and Herzegovina","Haris Tabakovic","Jugador","https://scanini.app/es/teams/bosnia-and-herzegovina"
"BRA 1","1","Brazil","Escudo de Brazil","Escudo","https://scanini.app/es/teams/brazil"
"BRA 2","2","Brazil","Alisson","Jugador","https://scanini.app/es/teams/brazil"
"BRA 3","3","Brazil","Bento","Jugador","https://scanini.app/es/teams/brazil"
"BRA 4","4","Brazil","Marquinhos","Jugador","https://scanini.app/es/teams/brazil"
"BRA 5","5","Brazil","Éder Militão","Jugador","https://scanini.app/es/teams/brazil"
"BRA 6","6","Brazil","Gabriel Magalhães","Jugador","https://scanini.app/es/teams/brazil"
"BRA 7","7","Brazil","Danilo","Jugador","https://scanini.app/es/teams/brazil"
"BRA 8","8","Brazil","Wesley","Jugador","https://scanini.app/es/teams/brazil"
"BRA 9","9","Brazil","Lucas Paquetá","Jugador","https://scanini.app/es/teams/brazil"
"BRA 10","10","Brazil","Casemiro","Jugador","https://scanini.app/es/teams/brazil"
"BRA 11","11","Brazil","Bruno Guimarães","Jugador","https://scanini.app/es/teams/brazil"
"BRA 12","12","Brazil","Luiz Henrique","Jugador","https://scanini.app/es/teams/brazil"
"BRA 13","13","Brazil","Foto del equipo de Brazil","Equipo","https://scanini.app/es/teams/brazil"
"BRA 14","14","Brazil","Vinicius Júnior","Jugador","https://scanini.app/es/teams/brazil"
"BRA 15","15","Brazil","Rodrygo","Jugador","https://scanini.app/es/teams/brazil"
"BRA 16","16","Brazil","João Pedro","Jugador","https://scanini.app/es/teams/brazil"
"BRA 17","17","Brazil","Matheus Cunha","Jugador","https://scanini.app/es/teams/brazil"
"BRA 18","18","Brazil","Gabriel Martinelli","Jugador","https://scanini.app/es/teams/brazil"
"BRA 19","19","Brazil","Raphinha","Jugador","https://scanini.app/es/teams/brazil"
"BRA 20","20","Brazil","Estévão","Jugador","https://scanini.app/es/teams/brazil"
"CAN 1","1","Canada","Escudo de Canada","Escudo","https://scanini.app/es/teams/canada"
"CAN 2","2","Canada","Dayne St.Clair","Jugador","https://scanini.app/es/teams/canada"
"CAN 3","3","Canada","Alphonso Davies","Jugador","https://scanini.app/es/teams/canada"
"CAN 4","4","Canada","Alistair Johnston","Jugador","https://scanini.app/es/teams/canada"
"CAN 5","5","Canada","Samuel Adekugbe","Jugador","https://scanini.app/es/teams/canada"
"CAN 6","6","Canada","Riche Larvea","Jugador","https://scanini.app/es/teams/canada"
"CAN 7","7","Canada","Derek Cornelius","Jugador","https://scanini.app/es/teams/canada"
"CAN 8","8","Canada","Moïse Bombito","Jugador","https://scanini.app/es/teams/canada"
"CAN 9","9","Canada","Kamal Miller","Jugador","https://scanini.app/es/teams/canada"
"CAN 10","10","Canada","Stephen Eustáquio","Jugador","https://scanini.app/es/teams/canada"
"CAN 11","11","Canada","Ismaël Koné","Jugador","https://scanini.app/es/teams/canada"
"CAN 12","12","Canada","Jonathan Osorio","Jugador","https://scanini.app/es/teams/canada"
"CAN 13","13","Canada","Foto del equipo de Canada","Equipo","https://scanini.app/es/teams/canada"
"CAN 14","14","Canada","Jacob Shaffelburg","Jugador","https://scanini.app/es/teams/canada"
"CAN 15","15","Canada","Mathieu Choinière","Jugador","https://scanini.app/es/teams/canada"
"CAN 16","16","Canada","Niko Sigur","Jugador","https://scanini.app/es/teams/canada"
"CAN 17","17","Canada","Tajon Buchanan","Jugador","https://scanini.app/es/teams/canada"
"CAN 18","18","Canada","Liam Millar","Jugador","https://scanini.app/es/teams/canada"
"CAN 19","19","Canada","Cyle Larin","Jugador","https://scanini.app/es/teams/canada"
"CAN 20","20","Canada","Jonathan David","Jugador","https://scanini.app/es/teams/canada"
"CIV 1","1","Côte d'Ivoire","Escudo de Côte d'Ivoire","Escudo","https://scanini.app/es/teams/cote-divoire"
"CIV 2","2","Côte d'Ivoire","Yahia Fofana","Jugador","https://scanini.app/es/teams/cote-divoire"
"CIV 3","3","Côte d'Ivoire","Ghislain Konan","Jugador","https://scanini.app/es/teams/cote-divoire"
"CIV 4","4","Côte d'Ivoire","Wilfried Singo","Jugador","https://scanini.app/es/teams/cote-divoire"
"CIV 5","5","Côte d'Ivoire","Odilon Kossounou","Jugador","https://scanini.app/es/teams/cote-divoire"
"CIV 6","6","Côte d'Ivoire","Evan Ndicka","Jugador","https://scanini.app/es/teams/cote-divoire"
"CIV 7","7","Côte d'Ivoire","Willy Boly","Jugador","https://scanini.app/es/teams/cote-divoire"
"CIV 8","8","Côte d'Ivoire","Emmanuel Agbadou","Jugador","https://scanini.app/es/teams/cote-divoire"
"CIV 9","9","Côte d'Ivoire","Ousmane Diomande","Jugador","https://scanini.app/es/teams/cote-divoire"
"CIV 10","10","Côte d'Ivoire","Franck Kessie","Jugador","https://scanini.app/es/teams/cote-divoire"
"CIV 11","11","Côte d'Ivoire","Seko Fofana","Jugador","https://scanini.app/es/teams/cote-divoire"
"CIV 12","12","Côte d'Ivoire","Ibrahim Sangare","Jugador","https://scanini.app/es/teams/cote-divoire"
"CIV 13","13","Côte d'Ivoire","Foto del equipo de Côte d'Ivoire","Equipo","https://scanini.app/es/teams/cote-divoire"
"CIV 14","14","Côte d'Ivoire","Jean-Philippe Gbamin","Jugador","https://scanini.app/es/teams/cote-divoire"
"CIV 15","15","Côte d'Ivoire","Amad Diallo","Jugador","https://scanini.app/es/teams/cote-divoire"
"CIV 16","16","Côte d'Ivoire","Sébastien Haller","Jugador","https://scanini.app/es/teams/cote-divoire"
"CIV 17","17","Côte d'Ivoire","Simon Adingra","Jugador","https://scanini.app/es/teams/cote-divoire"
"CIV 18","18","Côte d'Ivoire","Yan Diomande","Jugador","https://scanini.app/es/teams/cote-divoire"
"CIV 19","19","Côte d'Ivoire","Evann Guessand","Jugador","https://scanini.app/es/teams/cote-divoire"
"CIV 20","20","Côte d'Ivoire","Oumar Diakite","Jugador","https://scanini.app/es/teams/cote-divoire"
"COD 1","1","DR Congo","Escudo de DR Congo","Escudo","https://scanini.app/es/teams/dr-congo"
"COD 2","2","DR Congo","Lionel Mpasi","Jugador","https://scanini.app/es/teams/dr-congo"
"COD 3","3","DR Congo","Aaron Wan-Bissaka","Jugador","https://scanini.app/es/teams/dr-congo"
"COD 4","4","DR Congo","Axel Tuanzebe","Jugador","https://scanini.app/es/teams/dr-congo"
"COD 5","5","DR Congo","Arthur Masuaku","Jugador","https://scanini.app/es/teams/dr-congo"
"COD 6","6","DR Congo","Chancel Mbemba","Jugador","https://scanini.app/es/teams/dr-congo"
"COD 7","7","DR Congo","Joris Kayembe","Jugador","https://scanini.app/es/teams/dr-congo"
"COD 8","8","DR Congo","Charles Pickel","Jugador","https://scanini.app/es/teams/dr-congo"
"COD 9","9","DR Congo","Ngal'ayel Mukau","Jugador","https://scanini.app/es/teams/dr-congo"
"COD 10","10","DR Congo","Edo Kayembe","Jugador","https://scanini.app/es/teams/dr-congo"
"COD 11","11","DR Congo","Samuel Moutoussamy","Jugador","https://scanini.app/es/teams/dr-congo"
"COD 12","12","DR Congo","Noah Sadiki","Jugador","https://scanini.app/es/teams/dr-congo"
"COD 13","13","DR Congo","Foto del equipo de DR Congo","Equipo","https://scanini.app/es/teams/dr-congo"
"COD 14","14","DR Congo","Théo Bongonda","Jugador","https://scanini.app/es/teams/dr-congo"
"COD 15","15","DR Congo","Meschak Elia","Jugador","https://scanini.app/es/teams/dr-congo"
"COD 16","16","DR Congo","Yoane Wissa","Jugador","https://scanini.app/es/teams/dr-congo"
"COD 17","17","DR Congo","Brian Cipenga","Jugador","https://scanini.app/es/teams/dr-congo"
"COD 18","18","DR Congo","Fiston Mayele","Jugador","https://scanini.app/es/teams/dr-congo"
"COD 19","19","DR Congo","Cédric Bakambu","Jugador","https://scanini.app/es/teams/dr-congo"
"COD 20","20","DR Congo","Nathanaël Mbuku","Jugador","https://scanini.app/es/teams/dr-congo"
"COL 1","1","Colombia","Escudo de Colombia","Escudo","https://scanini.app/es/teams/colombia"
